datetime,date,time,month,week,category,amount,description,type
2024-01-01 20:35:37,2024-01-01,20:35:37,January 2024,Week 1,Dining Out,124.61,Dining Out expense,want
2024-01-01 20:50:45,2024-01-01,20:50:45,January 2024,Week 1,Groceries,191.92,Groceries expense,need
2024-01-02 06:57:56,2024-01-02,06:57:56,January 2024,Week 1,Subscriptions,49.87,Subscriptions expense,want
2024-01-02 15:16:20,2024-01-02,15:16:20,January 2024,Week 1,Groceries,482.77,Groceries expense,need
2024-01-02 16:13:20,2024-01-02,16:13:20,January 2024,Week 1,Rent,1164.32,Rent expense,need
2024-01-03 10:10:06,2024-01-03,10:10:06,January 2024,Week 1,Travel,65.15,Travel expense,want
2024-01-03 21:05:41,2024-01-03,21:05:41,January 2024,Week 1,Shopping,448.4,Shopping expense,want
2024-01-04 01:09:31,2024-01-04,01:09:31,January 2024,Week 1,Subscriptions,16.56,Subscriptions expense,want
2024-01-04 03:19:02,2024-01-04,03:19:02,January 2024,Week 1,Subscriptions,46.48,Subscriptions expense,want
2024-01-04 06:16:32,2024-01-04,06:16:32,January 2024,Week 1,Dining Out,30.94,Dining Out expense,want
2024-01-04 12:52:42,2024-01-04,12:52:42,January 2024,Week 1,Groceries,367.25,Groceries expense,need
2024-01-04 14:00:36,2024-01-04,14:00:36,January 2024,Week 1,Food Delivery,25.62,Food Delivery expense,want
2024-01-04 23:56:12,2024-01-04,23:56:12,January 2024,Week 1,Travel,168.51,Travel expense,want
2024-01-05 03:01:25,2024-01-05,03:01:25,January 2024,Week 1,Rent,1950.6,Rent expense,need
2024-01-05 17:28:22,2024-01-05,17:28:22,January 2024,Week 1,Entertainment,137.08,Entertainment expense,want
2024-01-05 21:55:15,2024-01-05,21:55:15,January 2024,Week 1,Healthcare,232.11,Healthcare expense,need
2024-01-06 01:39:41,2024-01-06,01:39:41,January 2024,Week 1,Groceries,216.62,Groceries expense,need
2024-01-06 07:31:23,2024-01-06,07:31:23,January 2024,Week 1,Transport,425.82,Transport expense,need
2024-01-06 21:44:33,2024-01-06,21:44:33,January 2024,Week 1,Subscriptions,48.28,Subscriptions expense,want
2024-01-08 18:49:25,2024-01-08,18:49:25,January 2024,Week 2,Rent,1726.2,Rent expense,need
2024-01-10 03:03:17,2024-01-10,03:03:17,January 2024,Week 2,Dining Out,42.5,Dining Out expense,want
2024-01-10 04:40:37,2024-01-10,04:40:37,January 2024,Week 2,Entertainment,125.49,Entertainment expense,want
2024-01-10 16:01:19,2024-01-10,16:01:19,January 2024,Week 2,Utilities,206.43,Utilities expense,need
2024-01-11 00:01:06,2024-01-11,00:01:06,January 2024,Week 2,Utilities,124.41,Utilities expense,need
2024-01-11 09:41:24,2024-01-11,09:41:24,January 2024,Week 2,Shopping,95.38,Shopping expense,want
2024-01-12 04:19:51,2024-01-12,04:19:51,January 2024,Week 2,Travel,737.33,Travel expense,want
2024-01-12 06:45:17,2024-01-12,06:45:17,January 2024,Week 2,Food Delivery,73.27,Food Delivery expense,want
2024-01-12 19:32:42,2024-01-12,19:32:42,January 2024,Week 2,Entertainment,96.37,Entertainment expense,want
2024-01-12 21:35:53,2024-01-12,21:35:53,January 2024,Week 2,Rent,1055.06,Rent expense,need
2024-01-14 18:48:23,2024-01-14,18:48:23,January 2024,Week 2,Food Delivery,92.85,Food Delivery expense,want
2024-01-14 20:12:09,2024-01-14,20:12:09,January 2024,Week 2,Rent,1309.82,Rent expense,need
2024-01-15 07:59:41,2024-01-15,07:59:41,January 2024,Week 3,Subscriptions,16.3,Subscriptions expense,want
2024-01-16 14:13:24,2024-01-16,14:13:24,January 2024,Week 3,Transport,383.95,Transport expense,need
2024-01-16 19:08:09,2024-01-16,19:08:09,January 2024,Week 3,Food Delivery,78.23,Food Delivery expense,want
2024-01-17 09:20:40,2024-01-17,09:20:40,January 2024,Week 3,Rent,1623.91,Rent expense,need
2024-01-17 13:33:26,2024-01-17,13:33:26,January 2024,Week 3,Entertainment,103.02,Entertainment expense,want
2024-01-17 14:29:47,2024-01-17,14:29:47,January 2024,Week 3,Subscriptions,36.49,Subscriptions expense,want
